timestamp,symbol,obi,interpretacion
2026-04-17 02:55:20,BTCUSDT,OBI:0.0845,NEUTRAL
2026-04-17 02:55:21,ETHUSDT,OBI:-0.0325,NEUTRAL
2026-04-17 02:55:21,SOLUSDT,OBI:-0.0582,NEUTRAL
2026-04-17 02:55:21,BNBUSDT,OBI:0.1759,COMPRA
2026-04-17 03:00:22,BTCUSDT,OBI:0.823,FUERTEMENTE_COMPRA
2026-04-17 03:00:22,ETHUSDT,OBI:-0.2962,VENTA
2026-04-17 03:00:22,SOLUSDT,OBI:0.0505,NEUTRAL
2026-04-17 03:00:23,BNBUSDT,OBI:-0.22,VENTA
2026-04-17 03:05:23,BTCUSDT,OBI:-0.8089,FUERTEMENTE_VENTA
2026-04-17 03:05:23,ETHUSDT,OBI:-0.9497,FUERTEMENTE_VENTA
2026-04-17 03:05:23,SOLUSDT,OBI:-0.0271,NEUTRAL
2026-04-17 03:05:24,BNBUSDT,OBI:-0.2772,VENTA
2026-04-17 03:10:24,BTCUSDT,OBI:0.0304,NEUTRAL
2026-04-17 03:10:24,ETHUSDT,OBI:-0.2425,VENTA
2026-04-17 03:10:25,SOLUSDT,OBI:-0.2264,VENTA
2026-04-17 03:10:25,BNBUSDT,OBI:-0.454,FUERTEMENTE_VENTA
2026-04-17 03:15:25,BTCUSDT,OBI:0.285,COMPRA
2026-04-17 03:15:26,ETHUSDT,OBI:0.437,FUERTEMENTE_COMPRA
2026-04-17 03:15:26,SOLUSDT,OBI:-0.1913,VENTA
2026-04-17 03:15:26,BNBUSDT,OBI:0.0285,NEUTRAL
2026-04-17 03:20:26,BTCUSDT,OBI:-0.976,FUERTEMENTE_VENTA
2026-04-17 03:20:27,ETHUSDT,OBI:-0.6794,FUERTEMENTE_VENTA
2026-04-17 03:20:27,SOLUSDT,OBI:-0.1044,VENTA
2026-04-17 03:20:27,BNBUSDT,OBI:0.685,FUERTEMENTE_COMPRA
2026-04-17 03:25:27,BTCUSDT,OBI:-0.3585,FUERTEMENTE_VENTA
2026-04-17 03:25:28,ETHUSDT,OBI:-0.6153,FUERTEMENTE_VENTA
2026-04-17 03:25:28,SOLUSDT,OBI:-0.1222,VENTA
2026-04-17 03:25:28,BNBUSDT,OBI:0.2147,COMPRA
2026-04-17 03:30:29,BTCUSDT,OBI:0.1463,COMPRA
2026-04-17 03:30:29,ETHUSDT,OBI:0.4136,FUERTEMENTE_COMPRA
2026-04-17 03:30:30,SOLUSDT,OBI:-0.0544,NEUTRAL
2026-04-17 03:30:30,BNBUSDT,OBI:-0.2456,VENTA
2026-04-17 03:35:30,BTCUSDT,OBI:0.6253,FUERTEMENTE_COMPRA
2026-04-17 03:35:31,ETHUSDT,OBI:-0.1535,VENTA
2026-04-17 03:35:31,SOLUSDT,OBI:-0.2514,VENTA
2026-04-17 03:35:31,BNBUSDT,OBI:-0.2047,VENTA
2026-04-17 03:40:31,BTCUSDT,OBI:-0.0244,NEUTRAL
2026-04-17 03:40:32,ETHUSDT,OBI:0.3261,FUERTEMENTE_COMPRA
2026-04-17 03:40:32,SOLUSDT,OBI:-0.0908,NEUTRAL
2026-04-17 03:40:32,BNBUSDT,OBI:-0.12,VENTA
2026-04-17 03:45:33,BTCUSDT,OBI:0.7688,FUERTEMENTE_COMPRA
2026-04-17 03:45:33,ETHUSDT,OBI:0.4616,FUERTEMENTE_COMPRA
2026-04-17 03:45:34,SOLUSDT,OBI:-0.1295,VENTA
2026-04-17 03:45:34,BNBUSDT,OBI:0.5042,FUERTEMENTE_COMPRA
2026-04-17 03:50:34,BTCUSDT,OBI:-0.7565,FUERTEMENTE_VENTA
2026-04-17 03:50:35,ETHUSDT,OBI:0.7161,FUERTEMENTE_COMPRA
2026-04-17 03:50:36,SOLUSDT,OBI:-0.2466,VENTA
2026-04-17 03:50:36,BNBUSDT,OBI:0.3644,FUERTEMENTE_COMPRA
2026-04-17 03:55:36,BTCUSDT,OBI:-0.4753,FUERTEMENTE_VENTA
2026-04-17 03:55:36,ETHUSDT,OBI:-0.1569,VENTA
2026-04-17 03:55:37,SOLUSDT,OBI:-0.2499,VENTA
2026-04-17 03:55:37,BNBUSDT,OBI:-0.1759,VENTA
2026-04-17 04:00:37,BTCUSDT,OBI:-0.9004,FUERTEMENTE_VENTA
2026-04-17 04:00:38,ETHUSDT,OBI:0.7564,FUERTEMENTE_COMPRA
2026-04-17 04:00:39,SOLUSDT,OBI:-0.2617,VENTA
2026-04-17 04:00:39,BNBUSDT,OBI:0.0251,NEUTRAL
2026-04-17 04:05:39,BTCUSDT,OBI:-0.6838,FUERTEMENTE_VENTA
2026-04-17 04:05:40,ETHUSDT,OBI:-0.7319,FUERTEMENTE_VENTA
2026-04-17 04:05:40,SOLUSDT,OBI:-0.1365,VENTA
2026-04-17 04:05:40,BNBUSDT,OBI:-0.2545,VENTA
2026-04-17 04:10:40,BTCUSDT,OBI:-0.9313,FUERTEMENTE_VENTA
2026-04-17 04:10:41,ETHUSDT,OBI:-0.7226,FUERTEMENTE_VENTA
2026-04-17 04:10:41,SOLUSDT,OBI:-0.2831,VENTA
